Date,Open,High,Low,Close
2013-09-22,0.918,0.961,0.791,0.795
2013-09-29,0.776,0.863,0.769,0.85
2013-10-06,0.842,0.879,0.802,0.853
2013-10-13,0.846,0.93,0.796,0.812
2013-10-20,0.823,0.838,0.744,0.773
2013-10-27,0.787,0.789,0.621,0.664
2013-11-03,0.659,0.739,0.596,0.693
2013-11-10,0.688,0.707,0.618,0.65
2013-11-17,0.648,0.708,0.626,0.689
2013-11-24,0.703,0.706,0.645,0.654
2013-12-01,0.663,0.861,0.659,0.807
2013-12-08,0.814,0.842,0.785,0.819
2013-12-15,0.813,0.91,0.787,0.877
2013-12-22,0.889,0.96,0.885,0.959
2013-12-29,0.964,0.969,0.923,0.926
2014-01-05,0.922,0.93,0.823,0.832
2014-01-12,0.829,0.875,0.767,0.842
2014-01-19,0.846,0.849,0.733,0.748
2014-01-26,0.761,0.783,0.645,0.651
2014-02-02,0.652,0.733,0.613,0.666
2014-02-09,0.668,0.71,0.645,0.682
2014-02-16,0.676,0.7,0.624,0.666
2014-02-23,0.668,0.711,0.571,0.67
2014-03-02,0.623,0.721,0.604,0.688
2014-03-09,0.668,0.701,0.559,0.599
2014-03-16,0.605,0.728,0.591,0.699
2014-03-23,0.711,0.722,0.565,0.611
2014-03-30,0.624,0.705,0.602,0.607
2014-04-06,0.603,0.657,0.562,0.581
2014-04-13,0.578,0.6,0.537,0.595
2014-04-20,0.607,0.646,0.576,0.587
2014-04-27,0.603,0.633,0.516,0.533
2014-05-04,0.53,0.584,0.516,0.562
2014-05-11,0.576,0.578,0.428,0.461
2014-05-18,0.458,0.489,0.443,0.467
2014-05-25,0.468,0.474,0.401,0.428
2014-06-01,0.427,0.491,0.349,0.378
2014-06-08,0.396,0.462,0.377,0.402
2014-06-15,0.397,0.445,0.363,0.401
2014-06-22,0.402,0.414,0.339,0.367
2014-06-29,0.375,0.398,0.33,0.345
2014-07-06,0.342,0.352,0.284,0.307
2014-07-13,0.315,0.33,0.288,0.31
2014-07-20,0.306,0.335,0.299,0.303
2014-07-27,0.3,0.345,0.292,0.297
2014-08-03,0.3,0.333,0.237,0.259
2014-08-10,0.27,0.272,0.194,0.2
2014-08-17,0.218,0.238,0.205,0.227
2014-08-24,0.215,0.217,0.16,0.174
2014-08-31,0.176,0.213,0.098,0.193
2014-09-07,0.196,0.249,0.181,0.241
2014-09-14,0.24,0.261,0.2,0.202
2014-09-21,0.191,0.219,0.163,0.17
2014-09-28,0.179,0.186,0.12,0.169
2014-10-05,0.163,0.169,0.121,0.157
2014-10-12,0.143,0.186,0.081,0.173
2014-10-19,0.167,0.176,0.127,0.166
2014-10-26,0.175,0.185,0.125,0.128
2014-11-02,0.12,0.149,0.111,0.114
2014-11-09,0.115,0.137,0.098,0.108
2014-11-16,0.104,0.178,0.1,0.122
2014-11-23,0.124,0.128,0.099,0.114
2014-11-30,0.11,0.162,0.106,0.141
2014-12-07,0.133,0.144,0.075,0.08
2014-12-14,0.085,0.093,0.044,0.057
2014-12-21,0.06,0.068,0.049,0.056
2014-12-28,0.055,0.065,-0.005,-0.001
2015-01-04,0.002,0.016,-0.011,-0.003
2015-01-11,-0.001,0.024,-0.056,-0.049
2015-01-18,-0.045,0.037,-0.059,-0.02
2015-01-25,-0.02,0.037,-0.049,-0.041
2015-02-01,-0.04,-0.021,-0.057,-0.034
2015-02-08,-0.045,-0.034,-0.077,-0.065
2015-02-15,-0.062,-0.039,-0.086,-0.067
2015-02-22,-0.062,-0.047,-0.108,-0.087
2015-03-01,-0.083,-0.005,-0.091,-0.049
2015-03-08,-0.058,-0.05,-0.127,-0.087
2015-03-15,-0.09,-0.033,-0.114,-0.108
2015-03-22,-0.111,-0.057,-0.115,-0.091
2015-03-29,-0.094,-0.073,-0.113,-0.092
2015-04-05,-0.094,-0.088,-0.141,-0.131
2015-04-12,-0.13,-0.121,-0.168,-0.153
2015-04-19,-0.158,-0.089,-0.16,-0.098
2015-04-26,-0.105,0.032,-0.127,0.008
2015-05-03,0.013,0.214,0.009,0.058
2015-05-10,0.054,0.142,0.04,0.088
2015-05-17,0.089,0.101,0.022,0.062
2015-05-24,0.059,0.061,-0.004,0.001
2015-05-31,0.012,0.271,-0.012,0.172
2015-06-07,0.175,0.273,0.148,0.169
2015-06-14,0.161,0.17,0.097,0.107
2015-06-21,0.121,0.182,0.117,0.17
2015-06-28,0.169,0.17,0.033,0.128
2015-07-05,0.09,0.228,0.052,0.226
2015-07-12,0.206,0.28,0.12,0.127
2015-07-19,0.118,0.14,0.071,0.08
2015-07-26,0.077,0.108,0.041,0.048
2015-08-02,0.052,0.092,0.018,0.027
2015-08-09,0.027,0.052,-0.013,0.036
2015-08-16,0.028,0.043,-0.015,-0.007
2015-08-23,-0.01,0.1,-0.03,0.093
2015-08-30,0.089,0.154,0.046,0.053
2015-09-06,0.055,0.064,0.02,0.027
2015-09-13,0.026,0.113,0.01,0.044
2015-09-20,0.039,0.057,-0.015,0.027
2015-09-27,0.022,0.026,-0.069,-0.047
2015-10-04,-0.044,0.019,-0.053,0.014
2015-10-11,0.003,0.014,-0.054,-0.034
2015-10-18,-0.036,0.018,-0.112,-0.096
2015-10-25,-0.094,-0.056,-0.148,-0.075
2015-11-01,-0.085,0.033,-0.087,0.01
2015-11-08,0.01,0.016,-0.11,-0.101
2015-11-15,-0.116,-0.093,-0.157,-0.149
2015-11-22,-0.146,-0.118,-0.206,-0.192
2015-11-29,-0.19,0.034,-0.23,-0.002
2015-12-06,-0.001,0.003,-0.122,-0.108
2015-12-13,-0.1,-0.015,-0.114,-0.096
2015-12-20,-0.089,-0.019,-0.106,-0.037
2015-12-27,-0.045,-0.01,-0.067,-0.038
2016-01-03,-0.062,-0.047,-0.157,-0.136
2016-01-10,-0.128,-0.078,-0.175,-0.161
2016-01-17,-0.146,-0.134,-0.246,-0.228
2016-01-24,-0.224,-0.215,-0.308,-0.303
2016-01-31,-0.303,-0.276,-0.337,-0.311
2016-02-07,-0.315,-0.258,-0.359,-0.28
2016-02-14,-0.279,-0.265,-0.343,-0.323
2016-02-21,-0.318,-0.298,-0.376,-0.368
2016-02-28,-0.373,-0.341,-0.41,-0.343
2016-03-06,-0.363,-0.222,-0.405,-0.272
2016-03-13,-0.278,-0.235,-0.305,-0.291
2016-03-20,-0.297,-0.282,-0.327,-0.308
2016-03-27,-0.308,-0.308,-0.347,-0.326
2016-04-03,-0.337,-0.314,-0.391,-0.391
2016-04-10,-0.388,-0.345,-0.402,-0.378
2016-04-17,-0.391,-0.302,-0.391,-0.327
2016-04-24,-0.345,-0.264,-0.349,-0.281
2016-05-01,-0.289,-0.273,-0.374,-0.373
2016-05-08,-0.361,-0.357,-0.401,-0.376
2016-05-15,-0.38,-0.337,-0.384,-0.35
2016-05-22,-0.35,-0.335,-0.389,-0.379
